File Name,type,rows
2018/180-10131-10322.pdf,multi_record,93;18277
2018/180-10131-10325.pdf,multi_record,94;18279
2018/180-10131-10332.pdf,multi_record,95;18284
2018/180-10131-10338.pdf,multi_record,96;18287
2018/180-10131-10327.pdf,multi_record,97;18280
2018/180-10131-10324.pdf,multi_record,99;18278
2018/docid-32989641.pdf,multi_record,197;198
2018/docid-32989560.pdf,multi_record,200;201;202;203;372
2018/docid-32989640.pdf,multi_record,214;215;216
2018/docid-32989502.pdf,multi_record,217;218
2018/docid-32989749.pdf,multi_record,220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237
2018/docid-32989503.pdf,multi_record,238;239;240;241;242;418;419;420
2018/docid-32989570.pdf,multi_record,244;245;246;247;248;249;250;251;18878
2018/docid-32989732.pdf,multi_record,253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268
2018/docid-32989751.pdf,multi_record,269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284
2018/docid-32989748.pdf,multi_record,285;286;287;288;289;290;291;292;293;294;295;296;297;298
2018/docid-32989603.pdf,multi_record,300;301;302;303;304;18880;18881
2018/docid-32989587.pdf,multi_record,307;308;309;310;18882
2018/docid-32989595.pdf,multi_record,311;366;367;368;369;370;371;18887
2018/docid-32989750.pdf,multi_record,312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328
2018/docid-32989738.pdf,multi_record,333;334;335;336;337;338;339;340;341;342;343;344;345;346
2018/docid-32989802.pdf,multi_record,348;349;350;351;352;353
2018/docid-32989602.pdf,multi_record,356;357;358;359;360
2018/docid-32989823.pdf,multi_record,361;362;363
2018/docid-32989499.pdf,multi_record,364;365
2018/docid-32989753.pdf,multi_record,373;374;375;376;377;378;379;380;381;382;383;384;385
2018/docid-32989740.pdf,multi_record,386;388;389;390;391;392;393;394;395;396;397;398;399
2018/docid-32989734.pdf,multi_record,400;401;402;403;404;405;406;407;408
2018/docid-32989799.pdf,multi_record,409;410;411
2018/docid-32989817.pdf,multi_record,414;415
2018/docid-32565125.pdf,multi_record,646;815
2018/docid-32989550.pdf,multi_record,1548;1549;1550
2018/docid-32989651.pdf,multi_record,1551;18874
2018/docid-32989626.pdf,multi_record,1575;18907;18908
2018/docid-32989644.pdf,multi_record,1576;1577;1745;1746
2018/docid-32989667.pdf,multi_record,1578;1579;1580;1616;1617
2018/docid-32989532.pdf,multi_record,1581;18921
2018/docid-32989687.pdf,multi_record,1589;1590;1591
2018/docid-32989588.pdf,multi_record,1593;1615;18910;18911;18916
2018/docid-32989609.pdf,multi_record,1594;1595;1596;18917;18918;18919;18920
2018/docid-32989611.pdf,multi_record,1598;1614;18912;18913
2018/docid-32989534.pdf,multi_record,1599;1600;1601;1602;1603;1612;1613
2018/docid-32989562.pdf,multi_record,1604;1605;1606;1607;1608;1609;1610;18915
2018/docid-32989617.pdf,multi_record,1620;1621;1622;1623
2018/docid-32989614.pdf,multi_record,1624;1625;1626;1627;1628;18924;18925
2018/docid-32989612.pdf,multi_record,1629;1630;1631
2018/docid-32989659.pdf,multi_record,1633;1634;1635;1636;1637
2018/docid-32989725.pdf,multi_record,1638;1639;1640;1641
2018/docid-32989554.pdf,multi_record,1644;1645;1646
2018/docid-32989581.pdf,multi_record,1648;1649;1650;1651;1652;1653;1654;1655;1656;1657;1658
2018/docid-32989768.pdf,multi_record,1660;1662;1663;1664;1665
2018/docid-32989713.pdf,multi_record,1666;1667;1668
2018/docid-32989653.pdf,multi_record,1671;1672;1673;1674
2018/docid-32989618.pdf,multi_record,1675;1731;1732
2018/docid-32989536.pdf,multi_record,1677;1678
2018/docid-32989578.pdf,multi_record,1679;1680;1681;1682;1725;1730
2018/docid-32989745.pdf,multi_record,1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697
2018/docid-32989591.pdf,multi_record,1702;1703;1704;1705;1706;1707;1708;1709;1727;1728;1729
2018/docid-32989797.pdf,multi_record,1710;1711;1712;1713;1714;1715;1716;1717;1718;1719;1720
2018/docid-32989606.pdf,multi_record,1726;1744;18922;18923;18934
2018/233-jfk-000443-tape1-s1.mp3,multi_record,2925;2927
2018/233-jfk-000443-tape2-s2.mp3,multi_record,2926;2928
2018/124-10188-10363,multi_record,16800;16802
124-10188-10365_00.pdf,multi_record,16801;16803
2018/124-10190-10078,multi_record,16805;17047
124-10273-10088_00.pdf,multi_record,16806;17048
2018/180-10110-10017.pdf,suspect_addinfo,18253;19050
2018/180-10128-10002.pdf,suspect_addinfo,18276;19051
docid-32157934.pdf,suspect_addinfo,20489;51645
docid-32285903.pdf,suspect_addinfo,20499;23948
docid-32286640.pdf,suspect_addinfo,20530;24159
docid-32289260.pdf,suspect_addinfo,20603;24807
docid-32289261.pdf,suspect_addinfo,20604;24808
docid-32289262.pdf,suspect_addinfo,20605;24809
docid-32289264.pdf,multi_record,20606;21405;24810
docid-32289265.pdf,suspect_addinfo,20607;24811
docid-32289266.pdf,suspect_addinfo,20608;24812
docid-32289267.pdf,suspect_addinfo,20609;24813
docid-32289274.pdf,suspect_addinfo,20612;24814
docid-32289276.pdf,suspect_addinfo,20613;24815
docid-32289282.pdf,suspect_addinfo,20614;24816
docid-32289283.pdf,suspect_addinfo,20615;24817
docid-32289289.pdf,suspect_addinfo,20616;24819
docid-32289291.pdf,suspect_addinfo,20617;24820
docid-32289292.pdf,suspect_addinfo,20618;24821
docid-32289296.pdf,suspect_addinfo,20619;24822
docid-32293475.pdf,suspect_addinfo,20758;25909
docid-32298699.pdf,suspect_addinfo,20884;27010
docid-32298700.pdf,suspect_addinfo,20885;27011
docid-32298717.pdf,suspect_addinfo,20886;27012
docid-32298718.pdf,suspect_addinfo,20887;27013
docid-32298726.pdf,suspect_addinfo,20888;27014
docid-32298728.pdf,suspect_addinfo,20889;27015
docid-32298758.pdf,suspect_addinfo,20897;27019
docid-32316424.pdf,suspect_addinfo,21120;30131
docid-32317516.pdf,suspect_addinfo,21151;30279
docid-32325224.pdf,suspect_addinfo,21216;31930
docid-32325233.pdf,suspect_addinfo,21217;31931
docid-32144601.pdf,suspect_addinfo,21402;51605
docid-32298723.pdf,suspect_addinfo,21403;52302
docid-32298724.pdf,suspect_addinfo,21404;52303
docid-32585200.pdf,suspect_addinfo,21406;22486
docid-32300193.pdf,suspect_addinfo,21407;48864
docid-32298706.pdf,suspect_addinfo,21408;48818
docid-32328855.pdf,suspect_addinfo,21409;52778
docid-32989481.pdf,multi_record,21415;21416
docid-32989487.pdf,multi_record,21422;21423;21424
docid-32989489.pdf,multi_record,21425;21426;21427
docid-32989496.pdf,multi_record,21431;21432;21433;21434
docid-32989499.pdf,multi_record,21437;21438
docid-32989502.pdf,multi_record,21441;21442
docid-32989503.pdf,multi_record,21443;21444;21445;21446;21447;21448;21449;21450;21451
docid-32989509.pdf,multi_record,21455;21456
docid-32989510.pdf,multi_record,21457;21458
docid-32989512.pdf,multi_record,21460;21461;21462
docid-32989513.pdf,multi_record,21463;21464;21465
docid-32989519.pdf,multi_record,21471;21472
docid-32989520.pdf,multi_record,21473;21474
docid-32989522.pdf,multi_record,21475;21476
docid-32989532.pdf,multi_record,21486;21487
docid-32989534.pdf,multi_record,21489;21490;21491;21492;21493;21494;21495;21496;21497
docid-32989536.pdf,multi_record,21498;21499;21500;21501;21502
docid-32989542.pdf,multi_record,21507;21508;21509;21510;21511;21512;21513;21514
docid-32989549.pdf,multi_record,21521;21522
docid-32989550.pdf,multi_record,21523;21524;21525;21526;21527
docid-32989554.pdf,multi_record,21531;21532;21533;21534;21535;21536
docid-32989556.pdf,multi_record,21538;21539;21540;21541
docid-32989558.pdf,multi_record,21543;21544;21545;21546;21547;21548;21549;21550
docid-32989560.pdf,multi_record,21552;21553;21554;21555;21556;21557
docid-32989561.pdf,multi_record,21558;21559
docid-32989562.pdf,multi_record,21560;21561;21562;21563;21564;21565;21566;21567
docid-32989570.pdf,multi_record,21572;21573;21574;21575;21576;21577;21578;21579;21580
docid-32989575.pdf,multi_record,21585;21586;21587;21588;21589;21590;21591;21592;21593
docid-32989576.pdf,multi_record,21594;21595
docid-32989578.pdf,multi_record,21597;21598;21599;21600;21601;21602;21603;21604
docid-32989581.pdf,multi_record,21607;21608;21609;21610;21611;21612;21613;21614;21615;21616;21617
docid-32989587.pdf,multi_record,21623;21624;21625;21626;21627;21628
docid-32989588.pdf,multi_record,21629;21630;21631;21632;21633;21634
docid-32989589.pdf,multi_record,21635;21636;21637;21638;21639;21640;21641;21642;21643;21644;21645;21646;21647;21648
docid-32989591.pdf,multi_record,21650;21651;21652;21653;21654;21655;21656;21657;21658;21659;21660
docid-32989593.pdf,multi_record,21662;21663;21664;21665;21666;21667;21668;21669
docid-32989594.pdf,multi_record,21670;21671;21672;21673;21674;21675;21676
docid-32989595.pdf,multi_record,21677;21678;21679;21680;21681;21682;21683;21684;21685
docid-32989601.pdf,multi_record,21690;23239
docid-32989602.pdf,multi_record,21691;21692;21693;21694;21695;21696;21697
docid-32989603.pdf,multi_record,21698;21699;21700;21701;21702;21703;21704;21705;21706;21707
docid-32989606.pdf,multi_record,21710;21711;21712;21713;21714;21715;21716;21717;21718;21719
docid-32989609.pdf,multi_record,21722;21723;21724;21725;21726;21727;21728;21729;21730
