File Name,Record Number,NARA Release Date,Formerly Withheld,Agency,Document Date,Document Type,File Number,To Name,From Name,Title,Number of Pages,Originator,Record Series,Review Date,Comments,Pages Released,URL
2018/104-10196-100270001.pdf,104-10196-10027,5/4/18,In Full,CIA,03/24/1975,PAPER-TEXTUAL DOCUMENT,80T01357A,,"HOCH, PAUL L.",PAPER:CIA ACTIVITIES AND THE WARREN COMMISSION INVESTIGATION,30,CIA,JFK,3/12/18,JFK64-31 : F16 : 1998.05.11.18:27:57:106115 :,30,https://www.archives.gov/files/research/jfk/releases/2018/104-10196-100270001.pdf
2018/docid-32245763.pdf,180-10073-10321,04/26/2018,Redact,,12/3/76,PAPER-TEXTUAL DOCUMENT,005174 (2 OF 8),"BATES, C.M.","DOWINING, THOMAS N.",,1,HSCA,,2/7/18,Box #:109.,1,https://www.archives.gov/files/research/jfk/releases/2018/docid-32245763.pdf
2018/docid-32423575.pdf,157-10014-10187,04/26/2018,Redact,SSCIA,9/9/75,PAPER-TEXTUAL DOCUMENT,07-M-92,,,NSA MONITORING,6,SSCIA,MISCELLANEOUS RECORDS OF THE CHURCH COMMITTEE,02/15/2018,,6,https://www.archives.gov/files/research/jfk/releases/2018/docid-32423575.pdf
2018/docid-32269709.pdf,180-10125-10172,04/26/2018,Redact,,07/00/1978,PAPER-TEXTUAL DOCUMENT,,,,,100,HSCA,SECURITY VIOLATION CASE FILE,2/7/18,Box 1.,100,https://www.archives.gov/files/research/jfk/releases/2018/docid-32269709.pdf
2018/144-10001-10163_docid_6606188_binary_sealed.pdf,144-10001-10163,04/26/2018,Redact,NSA,12/13/1978,PAPER-TEXTUAL DOCUMENT,,NSA,,records search…,2,NSA,JFK,01/31/2018,,2,https://www.archives.gov/files/research/jfk/releases/2018/144-10001-10163_docid_6606188_binary_sealed.pdf
2018/144-10001-10162_docid_6606187_binary_sealed.pdf,144-10001-10162,04/26/2018,Redact,NSA,1/2/79,PAPER-TEXTUAL DOCUMENT,,House Assassination Committee,,response…,2,NSA,JFK,01/31/2018,,2,https://www.archives.gov/files/research/jfk/releases/2018/144-10001-10162_docid_6606187_binary_sealed.pdf
2018/144-10001-10377_docid_6607297_binary_sealed.pdf,144-10001-10377,04/26/2018,Redact,NSA,1/3/64,PAPER-TEXTUAL DOCUMENT,,ROMEO/CHARLIE,USM-701,,3,USM-701,JFK,02/15/2018,,3,https://www.archives.gov/files/research/jfk/releases/2018/144-10001-10377_docid_6607297_binary_sealed.pdf
2018/144-10001-10212_docid_6606915_binary_sealed.pdf,144-10001-10212,04/26/2018,Redact,NSA,01/26/1976,PAPER-TEXTUAL DOCUMENT,,DASD(Intel),DIRNSA Lowman Congressional Reviews,SSC queries…,4,NSA,JFK,2/8/18,,4,https://www.archives.gov/files/research/jfk/releases/2018/144-10001-10212_docid_6606915_binary_sealed.pdf
2018/194-10013-10448.pdf,194-10013-10448,04/26/2018,Redact,INSCOM/CSF,11/1/63,PAPER-TEXTUAL DOCUMENT,,,,Summary of Information,5,,,11/1/17,,5,https://www.archives.gov/files/research/jfk/releases/2018/194-10013-10448.pdf
2018/144-10001-10185_docid_6606909_binary_sealed.pdf,144-10001-10185,04/26/2018,Redact,NSA,07/31/1978,PAPER-TEXTUAL DOCUMENT,,HSCA,NSA,Blakey request…,5,NSA,JFK,2/8/18,,5,https://www.archives.gov/files/research/jfk/releases/2018/144-10001-10185_docid_6606909_binary_sealed.pdf
